Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
Afghanistan,AFG,2021,11.874211,4.203536,7.41957,0.238847,0.012259,0,,0.296119
Albania,ALB,2021,4.619109,0.174413,3.246273,0.150245,1.048179,0,,1.618066
Algeria,DZA,2021,176.26907,1.095536,56.020598,92.791955,11.028039,15.332942,,3.989977
Andorra,AND,2021,0.452888,0,0.452888,0,0,0,,5.730292
Angola,AGO,2021,21.362717,0,13.901716,2.951298,1.12373,3.385974,,0.619141
Anguilla,AIA,2021,0.144744,0,0.144744,0,0,0,,9.188354
Antarctica,ATA,2021,0,,,,,,,0
Antigua and Barbuda,ATG,2021,0.468695,0,0.468695,0,0,0,,5.027895
Argentina,ARG,2021,186.448284,4.816141,80.30911,94.327529,4.670734,2.32477,,4.117967
Armenia,ARM,2021,6.806045,0.012484,0.991559,5.460901,0.341102,0,,2.438591
Aruba,ABW,2021,0.858126,0,0.858126,0,0,0,,8.054722
Australia,AUS,2021,391.187411,150.958384,139.155751,77.242144,2.820162,17.272753,3.738217,15.091473
Austria,AUT,2021,64.625588,12.269229,31.462607,17.839483,1.821123,0.10925,1.123897,7.24333
Azerbaijan,AZE,2021,38.492804,0.003664,11.110517,26.029329,1.096472,0.252822,,3.732457
Bahamas,BHS,2021,2.386463,0.005078,2.381386,0,0,0,,5.850522
Bahrain,BHR,2021,39.016088,0,3.550339,34.595877,0.6147,0.255172,,26.66372
Bangladesh,BGD,2021,93.175944,14.852834,18.057137,58.74329,1.473934,0.048748,,0.550177
Barbados,BRB,2021,1.125301,0,0.978746,0.057667,0.070568,0.01832,,4.001781
Belarus,BLR,2021,59.602457,3.281815,16.98652,36.052508,2.302394,0.006232,0.972988,6.222741
Belgium,BEL,2021,95.722285,11.015942,44.567181,35.777219,2.634278,0.101449,1.626217,8.243806
Belize,BLZ,2021,0.689321,0,0.684527,0,0,0.004794,,1.72317
Benin,BEN,2021,7.755815,0.28435,6.960807,0.123021,0.387637,0,,0.596744
Bermuda,BMU,2021,0.54796,0,0.54796,0,0,0,,8.537196
Bhutan,BTN,2021,1.522086,0.448014,0.619953,0,0.454119,0,,1.957702
"Bonaire, Saint Eustatius and Saba",BES,2021,0.103389,0,0.103389,0,0,0,,3.871365
Bosnia and Herzegovina,BIH,2021,13.566311,8.294507,4.41825,0.488297,0.365257,0,,4.147523
Botswana,BWA,2021,6.499919,3.653634,2.846285,0,0,0,,2.51115
Brazil,BRA,2021,488.88107,68.229888,296.986854,75.974385,23.792942,17.505,6.392,2.281014
British Virgin Islands,VGB,2021,0.158529,0,0.158529,0,0,0,,5.093802
Brunei Darussalam,BRN,2021,10.480519,0.385681,3.878683,5.810752,0,0.405403,,23.532003
Bulgaria,BGR,2021,42.56021,20.853566,12.778482,6.06179,1.065905,0.684223,1.116245,6.180805
Burkina Faso,BFA,2021,5.698262,0,4.845777,0,0.852485,0,,0.257832
Burundi,BDI,2021,0.692908,0.049964,0.613882,0,0.029062,0,,0.055206
Cambodia,KHM,2021,19.028598,4.698298,8.981376,0,5.325217,0.023707,,1.14706
Canada,CAN,2021,545.634517,43.86208,241.659653,235.381822,6.624708,16.056983,2.049271,14.300468
Cape Verde,CPV,2021,0.667694,0,0.667694,0,0,0,,1.135678
Central African Rep.,CAF,2021,0.227296,0,0.227296,0,0,0,,0.041651
Chad,TCD,2021,1.939918,0,1.440763,0,0.162747,0.336407,,0.112919
Chile,CHL,2021,85.446923,26.184921,46.81935,11.605704,0.825329,0.011618,,4.383426
China,CHN,2021,11472.3692,7955.98542,1713.33998,773.866062,852.961348,4.677478,171.538883,8.045741
Christmas Island,CXR,2021,0,,,,,,,0
Colombia,COL,2021,91.70338,12.015417,49.944936,23.256673,5.870597,0.615756,,1.780076
Comoros,COM,2021,0.298171,0,0.298171,0,0,0,,0.362904
Congo,COG,2021,7.464369,0,2.027334,2.292486,0.28287,2.86168,,1.279064
Cook Islands,COK,2021,0.091403,0,0.091403,0,0,0,,5.375721
Costa Rica,CRI,2021,7.819507,0,7.082909,0,0.736598,0,,1.517185
Côte d'Ivoire,CIV,2021,11.706642,0,6.748904,4.929332,0,0.028407,,0.426033
Croatia,HRV,2021,17.701451,1.685619,9.05049,5.310927,1.212949,0.288184,0.153282,4.359818
